asset_name,day,mean_AR,mean_CAR,std_AR,n,t_stat,significant
Clean Energy,-5,-0.26835019968833085,-0.26835019968833085,1.368233431856128,9,-0.5883868792570514,False
Clean Energy,-4,0.5455790757041363,0.2772288760158055,1.7938456265223142,9,0.9124181049433514,False
Clean Energy,-3,0.10141569981928814,0.3786445758350936,1.740711746896418,9,0.17478315981972217,False
Clean Energy,-2,-0.9782646464324767,-0.5996200705973831,2.057154218318506,9,-1.4266280637415198,False
Clean Energy,-1,-0.14356060505410068,-0.7431806756514838,1.389419877867006,9,-0.3099724007284762,False
Clean Energy,0,0.7742046604987267,0.031023984847243016,2.006928224078702,9,1.157297980879409,False
Clean Energy,1,0.4402158381972391,0.4712398230444822,1.5329995393106572,9,0.8614793943027352,False
Clean Energy,2,-0.397697279488638,0.07354254355584405,1.346322633509639,9,-0.8861856799924117,False
Clean Energy,3,-0.3892899629695783,-0.3157474194137342,1.430012037066227,9,-0.816685355533583,False
Clean Energy,4,-0.6501256960575639,-0.965873115471298,1.8832669993599087,9,-1.0356349305943302,False
Clean Energy,5,-0.9450087609262887,-1.9108818763975866,2.050289893061629,9,-1.3827441145629493,False
Clean Energy,6,-0.26569122335577355,-2.17657309975336,1.0030810231810012,9,-0.794625410756567,False
Clean Energy,7,-0.1284038019285853,-2.304976901681945,1.162099587603773,9,-0.33147882496030695,False
Clean Energy,8,0.010829257651197528,-2.294147644030748,2.06362542218631,9,0.015743057148023203,False
Clean Energy,9,-0.4417624958436944,-2.7359101398744423,0.507353834082218,9,-2.6121562477762157,True
Clean Energy,10,-0.6433976350306163,-3.379307774905059,1.6921327010606764,9,-1.140686486279681,False
Fossil Fuels,-5,-0.4427497539610179,-0.4427497539610179,2.412512386862725,9,-0.5505668153730532,False
Fossil Fuels,-4,-0.2936963294127825,-0.7364460833738006,0.7379594887235582,9,-1.1939530579955806,False
Fossil Fuels,-3,0.2818248718634082,-0.4546212115103923,2.775110884697314,9,0.30466336327401994,False
Fossil Fuels,-2,-0.18355123017457156,-0.6381724416849638,1.9058075316878877,9,-0.28893457569454856,False
Fossil Fuels,-1,-0.4743321070517161,-1.1125045487366798,1.8457184986750126,9,-0.7709714792243105,False
Fossil Fuels,0,-0.0849896524759577,-1.1974942012126375,1.1242646241287304,9,-0.22678731675424368,False
Fossil Fuels,1,-0.20763417258768693,-1.4051283738003246,1.6387019966953722,9,-0.38011945980368256,False
Fossil Fuels,2,-0.25126742582855754,-1.656395799628882,1.9510355711220166,9,-0.3863600892997406,False
Fossil Fuels,3,-0.36975879510480986,-2.026154594733692,1.3180807538310213,9,-0.841584540317656,False
Fossil Fuels,4,0.5046877760916124,-1.5214668186420797,1.555787790996803,9,0.9731811350086295,False
Fossil Fuels,5,1.2813069133964945,-0.240159905245585,1.313315194578169,9,2.926883627067251,True
Fossil Fuels,6,0.18819884745132281,-0.05196105779426209,1.1185272271795903,9,0.5047678130979614,False
Fossil Fuels,7,-0.36511328478194277,-0.41707434257620485,1.3749326065096532,9,-0.7966498497162072,False
Fossil Fuels,8,-0.2099361340506954,-0.6270104766269003,0.8862170151823422,9,-0.7106706273547466,False
Fossil Fuels,9,0.34547914889821363,-0.28153132772868655,1.573459806134447,9,0.6586996646840819,False
Fossil Fuels,10,-0.042494978175951666,-0.3240263059046383,2.7469828609546934,9,-0.04640907533130679,False
